subj,name,days,status,reason,nomage,nomyear,nomchief,recess,party,potus,term,status2,reason2
69,"Taft, William Howard",3129,2,health,63,1921,1,0,r,Harding,1,1,2
70,"Sutherland, George",5586,2,retired,60,1922,0,0,r,Harding,1,2,1
71,"Butler, Pierce",6162,1,died,56,1922,0,0,d,Harding,1,1,3
72,"Sanford, Edward Terry",2574,1,died,57,1923,0,0,r,Harding,1,1,3
73,"Stone, Harlan Fiske",7721,1,died,52,1925,0,0,r,Coolidge,1,1,3
74,"Roberts, Owen Josephus",5538,2,resigned,55,1930,0,0,r,Hoover,1,2,10
75,"Cardozo, Benjamin Nathan",2308,1,died,61,1932,0,0,d,Hoover,1,1,3
76,"Black, Hugo Lafayette",12447,2,health,51,1937,0,0,d,"Roosevelt, F.",1,1,2
77,"Reed, Stanley Forman",6965,2,health,53,1938,0,0,d,"Roosevelt, F.",1,1,2
78,"Frankfurter, Felix",8611,2,health,56,1939,0,0,i,"Roosevelt, F.",1,1,2
79,"Douglas, William Orville",13358,2,health,40,1939,0,0,d,"Roosevelt, F.",1,1,2
80,"Murphy, Francis (Frank) William",3452,1,died,49,1940,0,0,d,"Roosevelt, F.",1,1,3
81,"Byrnes, James Frances",452,2,resigned,62,1941,0,0,d,"Roosevelt, F.",1,2,10
82,"Jackson, Robert Houghwout",4838,1,died,49,1941,0,0,d,"Roosevelt, F.",1,1,3
83,"Rutledge, Wiley Blount",2399,1,died,48,1943,0,0,d,"Roosevelt, F.",1,1,3
84,"Burton, Harold Hitz",4760,2,health,57,1945,0,0,r,Truman,1,1,2
85,"Vinson, Fred Moore",2633,1,died,56,1946,1,0,d,Truman,1,1,3
86,"Clark, Tom Campbell",6501,2,retired,49,1949,0,0,d,Truman,1,2,7
87,"Minton, Sherman",2560,2,health,58,1949,0,0,d,Truman,1,1,2
88,"Warren, Earl",5740,2,retired,62,1953,1,1,r,Eisenhower,1,2,1
89,"Harlan, John Marshall (II)",6023,2,health,55,1955,0,0,r,Eisenhower,1,1,2
90,"Brennan, William Joseph, Jr.",12330,2,retired,50,1956,0,1,d,Eisenhower,1,2,1
91,"Whittaker, Charles Evans",1832,2,health,56,1957,0,0,r,Eisenhower,1,1,2
92,"Stewart, Potter",8268,2,retired,43,1958,0,1,r,Eisenhower,1,2,9
93,"White, Byron Raymond",11426,2,retired,44,1962,0,0,d,Kennedy,1,2,9
94,"Goldberg, Arthur Joseph",998,2,resigned,54,1962,0,0,d,Kennedy,1,2,10
95,"Fortas, Abe",1318,2,resigned,55,1965,0,0,d,"Johnson, L.",1,2,11
96,"Marshall, Thurgood",8765,2,retired,58,1967,0,0,d,"Johnson, L.",1,2,1
97,"Burger, Warren Earl",6304,2,retired,61,1969,1,0,r,Nixon,1,2,1
98,"Blackmun, Harry Andrew",8821,2,retired,61,1970,0,0,r,Nixon,1,2,1
99,"Powell, Lewis Franklin, Jr.",5649,2,retired,64,1971,0,0,d,Nixon,1,2,1
100,"Rehnquist, William Hubbs",12293,1,died,47,1971,0,0,r,Nixon,1,1,3
101,"Stevens, John Paul",12611,2,retired,55,1975,0,0,r,Ford,1,2,1
102,"O'Connor, Sandra Day",8894,2,retired,51,1981,0,0,r,Reagan,1,2,1
103,"Scalia, Antonin",10732,1,died,50,1986,0,0,r,Reagan,1,1,3
104,"Kennedy, Anthony McLeod",10909,0,incumbent,51,1987,0,0,r,Reagan,1,0,0
105,"Souter, David H.",6838,2,retired,50,1990,0,0,r,"Bush, G. H. W.",1,2,6
106,"Thomas, Clarence",9566,0,incumbent,43,1991,0,0,r,"Bush, G. H. W.",1,0,0
107,"Ginsburg, Ruth Bader",8909,0,incumbent,60,1993,0,0,d,Clinton,1,0,0
108,"Breyer, Stephen G.",8551,0,incumbent,55,1994,0,0,d,Clinton,1,0,0
109,"Roberts, John G., Jr.",4476,0,incumbent,50,2005,1,0,r,"Bush, G. W.",1,0,0
110,"Alito, Samuel A., Jr.",4352,0,incumbent,55,2005,0,0,r,"Bush, G. W.",1,0,0
111,"Sotomayor, Sonia Maria",3067,0,incumbent,54,2009,0,0,d,Obama,1,0,0
112,"Kagan, Elena",2703,0,incumbent,50,2010,0,0,d,Obama,1,0,0
113,"Gorsuch, Neil McGill",265,0,incumbent,49,2017,0,0,r,Trump,1,0,0
5,"Rutledge, John",180,2,rejected,55,1795,1,1,f,Washington,2,2,12
62,"Hughes, Charles Evans",4144,2,retired,67,1930,1,0,r,Taft,2,2,1
